,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSMUSG00000078153,1809.750225,0.459470463,0.182323668,2.520081289,0.011732774,0.134496746,Psme2b
ENSMUSG00000042622,438.4825791,-0.368906933,0.146397497,-2.519899178,0.011738845,0.134496746,Maff
ENSMUSG00000104895,1.534635665,-2.243775104,0.890438815,-2.519853207,0.011740378,NA,NA
ENSMUSG00000095143,0.748480672,-3.376559636,1.340053348,-2.519720308,0.011744812,NA,Hsd3b4
ENSMUSG00000095388,0.748480672,-3.376559636,1.340053348,-2.519720308,0.011744812,NA,Hsd3b8
ENSMUSG00000080836,246.3867205,0.487441421,0.193464124,2.519544245,0.011750687,0.134496746,NA
ENSMUSG00000112515,54.31276754,-0.634331866,0.251784374,-2.519345642,0.011757318,0.134496746,NA
ENSMUSG00000027018,337.0955481,0.389826128,0.154765381,2.518819935,0.011774886,0.134580378,Hat1
ENSMUSG00000105326,70.02481689,-0.523582139,0.207982515,-2.517433444,0.01182133,0.134993623,NA
ENSMUSG00000014599,9.634544045,-1.086516425,0.431850689,-2.515953901,0.011871071,NA,Csf1
ENSMUSG00000029082,1321.898308,0.343217528,0.136438546,2.515546663,0.011884794,0.135600336,Bst1
ENSMUSG00000027365,1117.263818,-0.264931791,0.105354597,-2.514667598,0.011914466,0.135820769,Trpm7
ENSMUSG00000086245,2.724968479,4.049220788,1.610353927,2.514491206,0.011920428,NA,NA
ENSMUSG00000108842,2.679183999,-1.887969384,0.750838329,-2.514481895,0.011920742,NA,NA
ENSMUSG00000018651,205.1591107,-0.422364449,0.168081994,-2.512847681,0.011976103,0.135986152,Tada2a
ENSMUSG00000080849,43.75912743,0.719086296,0.286171275,2.512782936,0.011978301,0.135986152,NA
ENSMUSG00000020826,101.3603634,4.331955403,1.723981119,2.512762672,0.011978989,0.135986152,Nos2
ENSMUSG00000060206,118.2604284,-0.37968057,0.151102115,-2.512741603,0.011979704,0.135986152,Zfp462
ENSMUSG00000024234,263.8309513,0.346037168,0.137714751,2.512709529,0.011980794,0.135986152,Mtpap
ENSMUSG00000073702,10465.28631,0.303456565,0.120819036,2.51166186,0.012016417,0.136272604,Rpl31
ENSMUSG00000049550,462.0326385,-0.386239653,0.153851144,-2.51047632,0.012056841,0.136612961,Clip1
ENSMUSG00000044609,738.2749788,0.444428765,0.17711116,2.509321072,0.012096348,0.136942349,Gm9294
ENSMUSG00000005980,454.2622356,1.892348675,0.754346243,2.508594287,0.012121261,0.137106096,Dnase1
ENSMUSG00000119598,20.69355704,-0.921788743,0.36755628,-2.507884627,0.012145632,NA,Gm22063
ENSMUSG00000022957,218.6896679,-0.381320965,0.152054502,-2.507791349,0.012148838,0.13729966,Itsn1
ENSMUSG00000028132,257.8677215,0.399820083,0.159505194,2.506627365,0.012188914,0.137634023,Tlcd4
ENSMUSG00000047786,5.526434537,-1.551518904,0.618997939,-2.506500921,0.012193274,NA,Lix1
ENSMUSG00000028776,773.017318,-0.313825626,0.125227574,-2.506042537,0.012209093,0.137743345,Tinagl1
ENSMUSG00000052384,17.15020478,1.208333788,0.482210091,2.505824348,0.012216629,NA,Nrros
ENSMUSG00000034218,241.0912113,-0.364500335,0.145472176,-2.505636086,0.012223135,0.137783296,Atm
ENSMUSG00000102633,5.867401998,-1.318689101,0.526525355,-2.50451206,0.012262042,NA,NA
ENSMUSG00000092286,2.847740676,4.0833,1.630877596,2.503744003,0.012288691,NA,NA
ENSMUSG00000031621,1101.611283,0.2491069,0.09950428,2.503479248,0.012297889,0.138506956,Isx
ENSMUSG00000036192,2.588966342,-2.175754204,0.869523728,-2.502236723,0.012341138,NA,Rorb
ENSMUSG00000046962,104.9836855,-0.389707612,0.155776445,-2.501710779,0.012359485,0.139001935,Zbtb21
ENSMUSG00000035873,75.36269592,-0.75471862,0.301693235,-2.501609355,0.012363026,0.139001935,Pawr
ENSMUSG00000097906,1466.733841,0.331988704,0.132748479,2.500885181,0.012388334,0.139137836,Gm9625
ENSMUSG00000061436,1060.999424,-0.404886063,0.161911882,-2.500656891,0.012396321,0.139137836,Hipk2
ENSMUSG00000096971,55.41812903,-0.882087729,0.352957948,-2.49912981,0.01244987,0.139619437,4930556M19Rik
ENSMUSG00000027509,398.4353817,-0.230491167,0.092257003,-2.498359587,0.012476956,0.139711142,Rae1
ENSMUSG00000036422,64.99730448,-0.523992323,0.209740242,-2.498291785,0.012479343,0.139711142,Pcdh8
ENSMUSG00000033294,155.1481383,0.568435093,0.227641983,2.497057377,0.012522869,0.139964336,Noc4l
ENSMUSG00000105522,113.0686529,0.455497799,0.182414707,2.49704537,0.012523293,0.139964336,NA
ENSMUSG00000030104,704.4046267,0.259278787,0.103864039,2.496328751,0.012548624,0.140113811,Edem1
ENSMUSG00000015711,487.6377646,-0.458784971,0.183803432,-2.496063138,0.012558025,0.140113811,Prune1
ENSMUSG00000026399,308.0788583,-0.522673349,0.209575472,-2.493962411,0.012632592,0.140729492,Cd55
ENSMUSG00000037242,674.9917901,-0.501446669,0.201081124,-2.493753062,0.012640045,0.140729492,Clic4
ENSMUSG00000063696,3547.348432,0.324824613,0.130263154,2.493603166,0.012645383,0.140729492,Gm8730
ENSMUSG00000030172,378.4537218,-0.436712853,0.17525353,-2.491891905,0.01270647,0.141223728,Erc1
ENSMUSG00000016481,1050.360545,0.366551432,0.147118466,2.49153924,0.012719092,0.141223728,Cr1l
ENSMUSG00000113999,27.53277692,0.890469221,0.357413966,2.491422568,0.01272327,0.141223728,NA
ENSMUSG00000081565,364.9985451,0.541850521,0.217509734,2.491155278,0.012732846,0.141223728,Rps12-ps5
ENSMUSG00000043872,33.91598272,-0.708806459,0.284633288,-2.490244424,0.012765527,0.141233085,Zmym1
ENSMUSG00000110926,165.0480704,-0.708596868,0.284563155,-2.490121634,0.012769938,0.141233085,Gm5917
ENSMUSG00000028016,181.8475288,0.393720291,0.158120104,2.490007787,0.01277403,0.141233085,Ints12
ENSMUSG00000024807,255.4580403,0.377706525,0.151693495,2.489932244,0.012776745,0.141233085,Syvn1
ENSMUSG00000055013,606.8956393,-0.255739237,0.102748955,-2.488971648,0.012811318,0.141472758,Agap1
ENSMUSG00000032459,325.289806,0.326017914,0.13099765,2.488731023,0.012819992,0.141472758,Mrps22
ENSMUSG00000022452,1430.73339,0.231018429,0.092841353,2.48831391,0.012835039,0.141519785,Smdt1
ENSMUSG00000021193,96.09320633,-0.574282851,0.230857296,-2.487609716,0.012860478,0.141681217,Pitrm1
ENSMUSG00000106254,2.421832314,-1.846624221,0.742420219,-2.487303246,0.012871563,NA,NA
ENSMUSG00000039640,910.8343261,0.284611803,0.114429417,2.487225838,0.012874364,0.141715213,Mrpl12
ENSMUSG00000041225,812.5160279,-0.238546042,0.095935425,-2.486527187,0.012899671,0.141874759,Arhgap12
ENSMUSG00000031666,66.05468751,-0.607845417,0.244580491,-2.485257156,0.012945788,0.142262717,Rbl2
ENSMUSG00000019868,387.5507959,0.348965346,0.140470964,2.484252513,0.012982371,0.142317387,Vta1
ENSMUSG00000097164,75.81163448,0.584086506,0.235117834,2.484228855,0.012983234,0.142317387,NA
ENSMUSG00000031505,537.3844515,0.261846054,0.105435047,2.483482127,0.013010486,0.142317387,Naxd
ENSMUSG00000017697,49.45643582,0.789769527,0.318036725,2.483265187,0.013018413,0.142317387,Ada
ENSMUSG00000091058,48.93304381,0.636361498,0.25626808,2.483186736,0.013021281,0.142317387,NA
ENSMUSG00000030161,329.3688634,-0.407612133,0.164149591,-2.483174832,0.013021716,0.142317387,Gabarapl1
ENSMUSG00000049624,9961.212488,-0.40768851,0.164189341,-2.483038831,0.013026689,0.142317387,Slc17a5
ENSMUSG00000110711,1.622593451,-2.878368423,1.15962242,-2.482160032,0.013058861,NA,NA
ENSMUSG00000041697,6461.616962,0.235825264,0.095048552,2.481103162,0.013097646,0.14289007,Cox6a1
ENSMUSG00000029050,772.0199579,-0.23273971,0.093808266,-2.481014939,0.013100888,0.14289007,Ski
ENSMUSG00000080722,6.598225403,3.822341729,1.54122059,2.4800744,0.013135497,NA,NA
ENSMUSG00000022951,1052.84357,-0.402514103,0.162303078,-2.480015213,0.013137678,0.143159681,Rcan1
ENSMUSG00000026895,1890.697343,0.23932583,0.096549673,2.478784455,0.013183095,0.143159681,Ndufa8
ENSMUSG00000054889,3858.942464,-0.182772599,0.0737389,-2.478645584,0.013188228,0.143159681,Dsp
ENSMUSG00000022469,13.73295288,1.249590995,0.504170898,2.478506793,0.01319336,NA,Rapgef3
ENSMUSG00000102573,40.01184516,-1.053642207,0.425145491,-2.478309732,0.01320065,0.143159681,NA
ENSMUSG00000026087,774.5159137,0.261698648,0.105599147,2.478226918,0.013203714,0.143159681,Mrpl30
ENSMUSG00000024978,123.938362,-0.36702591,0.148101829,-2.478199708,0.013204721,0.143159681,Gpam
ENSMUSG00000028565,503.9197859,-0.297445566,0.120025552,-2.478185354,0.013205252,0.143159681,Nfia
ENSMUSG00000063754,2137.786866,0.308085865,0.124339211,2.477785271,0.013220068,0.143159681,Gm10136
ENSMUSG00000032869,436.8281333,0.255343223,0.103063408,2.477535204,0.013229336,0.143159681,Psmf1
ENSMUSG00000048249,1217.006949,-0.419369291,0.169278664,-2.477390133,0.013234715,0.143159681,Crebrf
ENSMUSG00000028364,23.37743917,-1.274647969,0.514599601,-2.476970377,0.01325029,NA,Tnc
ENSMUSG00000042541,1892.637612,0.235443526,0.095085516,2.476123967,0.013281745,0.143493595,Sem1
ENSMUSG00000003346,859.7404745,0.236795006,0.095637249,2.475970476,0.013287457,0.143493595,Abhd17a
ENSMUSG00000002228,61.60016184,0.677514748,0.273762796,2.474824038,0.013330183,0.143836626,Ppm1j
ENSMUSG00000061950,780.8909319,0.238952219,0.096676458,2.47166916,0.013448391,0.144913453,Ppp4r1
ENSMUSG00000027466,537.2846613,0.250321971,0.101280493,2.471571412,0.013452068,0.144913453,Rbck1
ENSMUSG00000094664,4483.786277,0.345717291,0.139947279,2.470339496,0.013498488,0.145108875,NA
ENSMUSG00000022772,249.2328754,-0.300681782,0.121719013,-2.470294282,0.013500194,0.145108875,Senp5
ENSMUSG00000000827,325.5211836,0.276861618,0.112080208,2.470209706,0.013503387,0.145108875,Tpd52l2
ENSMUSG00000028005,7.061304249,-1.441699571,0.583714857,-2.469869586,0.013516232,NA,Gucy1b1
ENSMUSG00000026043,209.5731927,-0.699324809,0.283223935,-2.469158577,0.013543119,0.145416744,Col3a1
ENSMUSG00000034714,1094.088176,0.216855338,0.087840738,2.468733103,0.013559231,0.145470701,Ttyh2
ENSMUSG00000108359,85.88872713,0.577274743,0.233878122,2.468271666,0.013576724,0.145539373,NA
ENSMUSG00000078942,1851.741494,-0.23665805,0.095943734,-2.466633734,0.013638979,0.14608738,Naip6
ENSMUSG00000051255,441.1221399,-0.382967916,0.155329553,-2.465518696,0.013681504,0.146140646,NA
ENSMUSG00000114470,15.77602901,1.234222031,0.500598943,2.465490684,0.013682573,NA,NA
ENSMUSG00000017057,409.8967269,0.403241089,0.163585724,2.465013931,0.013700792,0.146140646,Il13ra1
ENSMUSG00000080859,5321.713139,0.373994941,0.151721412,2.465010943,0.013700907,0.146140646,Rpl10-ps1
ENSMUSG00000040374,390.1859241,0.354173754,0.143695527,2.464751424,0.013710833,0.146140646,Pex2
ENSMUSG00000020091,2416.605284,-0.281664795,0.114290992,-2.464453142,0.01372225,0.146140646,Eif4ebp2
ENSMUSG00000061536,437.9132337,0.373722645,0.151664522,2.464140198,0.013734238,0.146140646,Sec22c
ENSMUSG00000028217,7910.078115,0.286965351,0.116464781,2.463966768,0.013740885,0.146140646,Cdh17
ENSMUSG00000038587,20.47071187,-1.113706974,0.45200479,-2.463927369,0.013742396,NA,Akap12
ENSMUSG00000118866,124.7666607,-0.566177119,0.229816843,-2.4636015,0.013754894,0.146140646,Rn7s1
ENSMUSG00000030341,1482.154878,0.292243152,0.118625251,2.463582998,0.013755604,0.146140646,Tnfrsf1a
ENSMUSG00000066714,25.86825013,1.008132253,0.409261613,2.463295412,0.013766644,0.146140646,Gm8062
ENSMUSG00000081700,11.17709515,1.558432879,0.63266239,2.463293068,0.013766734,NA,NA
ENSMUSG00000032435,1329.785089,-0.182512065,0.074093288,-2.463273937,0.013767468,0.146140646,Dync1li1
ENSMUSG00000059363,78.38057828,0.530495503,0.215385037,2.463010013,0.013777607,0.146140646,Fxn
ENSMUSG00000026065,2.60413601,3.951344309,1.604339931,2.462909656,0.013781464,NA,Slc9a4
ENSMUSG00000022956,4699.110382,0.218439846,0.088700158,2.462677075,0.013790406,0.146158251,Atp5o
ENSMUSG00000104950,20.88508627,-0.84438654,0.342904808,-2.462451737,0.013799074,NA,NA
ENSMUSG00000064347,135.4924455,-0.895123727,0.363556375,-2.462131841,0.013811389,0.146262495,NA
ENSMUSG00000079143,3.238594973,-1.944913913,0.79006313,-2.461719625,0.013827271,NA,NA
ENSMUSG00000047517,5786.009611,1.952520121,0.793174173,2.46165368,0.013829813,0.146339502,Dmbt1
ENSMUSG00000022019,98.1555415,0.453487003,0.184274343,2.460934036,0.013857584,0.146515199,Tdrd3
ENSMUSG00000109268,12.76383358,-1.101667198,0.447901778,-2.459617828,0.013908503,NA,NA
ENSMUSG00000026070,112.2626078,-0.889197723,0.361524167,-2.459580309,0.013909957,0.146914276,Il18r1
ENSMUSG00000030201,303.2544257,-0.358833401,0.145904011,-2.459379963,0.013917723,0.146914276,Lrp6
ENSMUSG00000088252,7581.996068,-0.572707597,0.232923832,-2.458776297,0.013941146,0.147043225,Snord13
ENSMUSG00000039232,3.654936064,-2.026761295,0.824453891,-2.458307633,0.013959354,NA,Stx11
ENSMUSG00000060181,228.7515665,-0.427647497,0.173971065,-2.458153002,0.013965366,0.147180378,Slc35e3
ENSMUSG00000037942,1.489592176,-2.449604323,0.996773325,-2.457533987,0.013989457,NA,Crp
ENSMUSG00000110898,9.90322123,-1.376238815,0.560014238,-2.457506828,0.013990515,NA,Gm40638
ENSMUSG00000038372,973.2012114,1.15287784,0.469296436,2.456608982,0.014025525,0.147695761,Gmds
ENSMUSG00000091697,162.5644554,0.405235109,0.164991033,2.456103833,0.014045257,0.147784937,Eif3s6-ps2
ENSMUSG00000097750,74.8519943,-0.581289341,0.236718281,-2.455616605,0.014064312,0.147866854,NA
ENSMUSG00000051223,1725.826017,-0.227057467,0.092503858,-2.454572942,0.014105205,0.148178053,Bzw1
ENSMUSG00000037685,322.3704024,0.308144252,0.125582223,2.453725093,0.014138502,0.148311787,Atp8a1
ENSMUSG00000079988,199.9281252,0.495522324,0.201971338,2.453428935,0.01415015,0.148311787,NA
ENSMUSG00000037013,594.7070065,0.315827304,0.1287312,2.453385845,0.014151845,0.148311787,Ss18
ENSMUSG00000063239,23.67256266,-0.712106263,0.290269048,-2.453262818,0.014156686,NA,Grm4
ENSMUSG00000032350,667.2735735,-0.610019299,0.248729194,-2.452544027,0.014185002,0.148320276,Gclc
ENSMUSG00000097304,317.0663807,0.505224034,0.206002632,2.452512516,0.014186244,0.148320276,Rpl31-ps15
ENSMUSG00000087701,797.1794526,0.439038077,0.179016229,2.452504333,0.014186567,0.148320276,NA
ENSMUSG00000057614,18.18595874,-1.164184548,0.474725896,-2.452329981,0.014193444,NA,Gnai1
ENSMUSG00000057246,72.03656493,0.746706234,0.304510035,2.452156406,0.014200292,0.14834557,BC051142
ENSMUSG00000041702,460.7409864,-0.224481175,0.091556305,-2.451837426,0.014212886,0.148359011,Btbd7
ENSMUSG00000110030,2.657588232,4.025867843,1.642326401,2.451320176,0.014233329,NA,NA
ENSMUSG00000003464,953.760881,0.215817724,0.088110917,2.449386874,0.014309965,0.148999261,Pex19
ENSMUSG00000028729,372.3646207,0.35172357,0.143609101,2.449173255,0.014318456,0.148999261,Ebna1bp2
ENSMUSG00000031631,225.8356675,-0.359617319,0.1468375,-2.449083634,0.014322019,0.148999261,Cfap97
ENSMUSG00000071180,395.3336527,-0.262319511,0.107112686,-2.449005058,0.014325144,0.148999261,Smim15
ENSMUSG00000042750,105.2029619,-0.469506395,0.191724646,-2.448857803,0.014331001,0.148999261,Bex2
ENSMUSG00000024925,357.8623101,0.469278609,0.191695809,2.448037922,0.014363654,0.149220507,Rnaseh2c
ENSMUSG00000110679,5295.421328,0.373064499,0.152452626,2.447084773,0.014401696,0.149464545,Rpl10-ps5
ENSMUSG00000007613,201.0302098,0.378422779,0.154655299,2.446878847,0.014409927,0.149464545,Tgfbr1
ENSMUSG00000072940,8619.964745,0.308629569,0.126213239,2.445302656,0.014473063,0.150000838,NA
ENSMUSG00000062980,21.07994125,-0.812823747,0.332514541,-2.444475792,0.014506282,NA,Cped1
ENSMUSG00000026107,203.6260932,-0.342815753,0.140270004,-2.443970505,0.014526614,0.150437019,Nabp1
ENSMUSG00000000555,2.431639853,3.828095027,1.567019778,2.442914302,0.014569196,NA,Itga5
ENSMUSG00000033486,36.51971406,-0.64565162,0.264320672,-2.442683031,0.014578535,0.150791886,Catsper2
ENSMUSG00000024018,28.54711214,-0.837039064,0.342690506,-2.442551076,0.014583866,0.150791886,Ccdc167
ENSMUSG00000025762,1633.069181,0.299699604,0.122714845,2.442244076,0.014596275,0.150801353,Larp1b
ENSMUSG00000034807,152.7454752,-0.742588587,0.304100788,-2.441916028,0.014609544,0.150819695,Colgalt1
ENSMUSG00000031229,1294.424657,-0.412117005,0.168794586,-2.441529758,0.014625183,0.150862441,Atrx
ENSMUSG00000101262,731.4676422,0.433192784,0.177472504,2.440900833,0.014650677,0.151006705,NA
ENSMUSG00000082826,156.4295399,0.464596122,0.190437697,2.439622663,0.01470261,0.151423037,NA
ENSMUSG00000078905,9.237326474,1.698943249,0.696452665,2.43942386,0.014710702,NA,Gm14393
ENSMUSG00000119459,16.41844364,-1.190007061,0.487835892,-2.439359382,0.014713328,NA,Gm23287
ENSMUSG00000035776,163.6729768,-0.441992471,0.181195972,-2.439306266,0.014715491,0.151436827,Cd99l2
ENSMUSG00000049799,372.8927883,0.34710856,0.1423285,2.438784646,0.014736748,0.151536728,Lrrc19
ENSMUSG00000030678,167.8204844,-0.366133524,0.150188965,-2.437819085,0.014776167,0.151671226,Maz
ENSMUSG00000073664,617.8502125,-0.26066879,0.106931512,-2.437717227,0.014780331,0.151671226,Nbeal1
ENSMUSG00000036427,975.5583229,0.234307082,0.096121443,2.437615126,0.014784506,0.151671226,Gpi1
ENSMUSG00000064653,22.45216128,-1.017506743,0.417423736,-2.437587171,0.014785649,NA,Gm26129
ENSMUSG00000034075,682.4690899,0.318255243,0.130589055,2.437074394,0.014806633,0.151779554,Zdhhc5
ENSMUSG00000037416,473.5498607,-0.380009432,0.15596758,-2.436464246,0.014831636,0.151917167,Dmxl1
ENSMUSG00000055681,1142.776348,0.167615119,0.068818202,2.435621876,0.014866216,0.152059452,Cope
ENSMUSG00000081783,49.97463027,0.729163862,0.299382266,2.435561303,0.014868705,0.152059452,Gm15599
ENSMUSG00000024640,68.83566215,0.91369657,0.375194448,2.435261438,0.014881034,0.152067011,Psat1
ENSMUSG00000045345,14.03121042,-0.975386038,0.400593113,-2.434854733,0.014897769,NA,NA
ENSMUSG00000031144,2.521500521,-1.727510935,0.709825429,-2.433712382,0.014944865,NA,Syp
ENSMUSG00000062279,2885.873176,0.337073316,0.138510934,2.433550242,0.01495156,0.152618072,NA
ENSMUSG00000044626,823.7170517,-0.239596442,0.098463811,-2.433345197,0.014960031,0.152618072,Liph
ENSMUSG00000083320,94.69627953,0.53790082,0.221110925,2.432719324,0.014985913,0.152618072,NA
ENSMUSG00000073803,0.801619484,-3.335245198,1.371060985,-2.432601639,0.014990784,NA,NA
ENSMUSG00000026417,3607.549441,1.6405092,0.674394131,2.432567433,0.0149922,0.152618072,Pigr
ENSMUSG00000038604,80.42777519,-0.671666572,0.276148794,-2.432263281,0.015004796,0.152618072,Ripor1
ENSMUSG00000019689,751.1525443,0.3229395,0.132792066,2.431918643,0.01501908,0.152618072,Fmc1
ENSMUSG00000016496,26.4485632,1.022891654,0.420622034,2.43185466,0.015021734,0.152618072,Cd274
ENSMUSG00000082475,1373.770546,0.387374057,0.159301531,2.431703293,0.015028012,0.152618072,NA
ENSMUSG00000039410,475.7058591,0.418580888,0.1722179,2.430530669,0.01507673,0.152887052,Prdm16
ENSMUSG00000079941,3455.771505,0.261170395,0.107455202,2.430504896,0.015077802,0.152887052,NA
ENSMUSG00000031563,940.2120747,-0.553446554,0.227758163,-2.429974606,0.015099881,0.152896881,Wwc2
ENSMUSG00000061684,1606.462601,0.369728255,0.152156437,2.429921883,0.015102077,0.152896881,Rpl21-ps8
ENSMUSG00000054027,19.51624034,-0.897207777,0.369270081,-2.429679042,0.015112199,NA,Nt5dc3
ENSMUSG00000054414,428.6671077,0.266501487,0.1097096,2.429153761,0.015134112,0.153103076,Slc30a7
ENSMUSG00000101678,2.550402128,3.956858823,1.629075596,2.428898224,0.015144783,NA,NA
ENSMUSG00000001158,886.6319549,-0.256009629,0.105419188,-2.428491747,0.01516177,0.153108007,Snrnp27
ENSMUSG00000086841,1775.826456,0.219646581,0.090460519,2.42809332,0.015178437,0.153108007,2410006H16Rik
ENSMUSG00000014606,1001.304455,0.238695879,0.098313936,2.427894658,0.015186754,0.153108007,Slc25a11
ENSMUSG00000115539,61.85542134,0.608641404,0.250689829,2.427866367,0.015187938,0.153108007,Gm6997
ENSMUSG00000030611,194.2256642,0.362341937,0.149250297,2.427746834,0.015192945,0.153108007,Mrps11
ENSMUSG00000031189,8.077795092,-1.274320327,0.524922939,-2.427633146,0.015197707,NA,Aff2
ENSMUSG00000018858,380.1432988,0.239518038,0.098671654,2.427424988,0.015206431,0.153117325,Mrpl58
ENSMUSG00000040407,3048.906196,-0.322630277,0.132950561,-2.426693614,0.015237118,0.153117325,Akap9
ENSMUSG00000029559,351.8488129,-0.329673064,0.135868083,-2.426420218,0.015248603,0.153117325,2210016L21Rik
ENSMUSG00000036501,149.2296339,-0.645469165,0.266037058,-2.426237794,0.01525627,0.153117325,Fam13b
ENSMUSG00000061518,5998.850015,0.208545784,0.085957141,2.426160081,0.015259538,0.153117325,Cox5b
ENSMUSG00000097790,24.21933476,0.874998878,0.360695169,2.425868028,0.015271823,NA,NA
ENSMUSG00000044860,785.8259188,0.818456843,0.337412283,2.425687751,0.01527941,0.153117325,Gm1123
ENSMUSG00000021866,671.7334051,-0.329999706,0.136048787,-2.425598302,0.015283176,0.153117325,Anxa11
ENSMUSG00000045319,42.88559886,-0.564828477,0.232870741,-2.425502125,0.015287226,0.153117325,Proser2
ENSMUSG00000022096,20.05633283,1.424524783,0.587370638,2.425257054,0.015297551,NA,Hr
ENSMUSG00000059213,6.152381175,2.697873142,1.112468146,2.425123947,0.015303161,NA,Ddn
ENSMUSG00000062070,1452.802833,0.319557365,0.131776718,2.424991072,0.015308763,0.153216081,Pgk1
ENSMUSG00000020576,141.7496298,0.430878606,0.177708347,2.424639099,0.015323612,0.153247797,Nbas
ENSMUSG00000044162,3.756275689,4.492894242,1.853588073,2.42389035,0.015355241,NA,Tnip3
ENSMUSG00000086825,58.04662909,-0.632323678,0.260932646,-2.423321451,0.015379311,0.153687695,NA
ENSMUSG00000039234,1140.681264,0.353874718,0.146121778,2.421779448,0.015444721,0.154223885,Sec24d
ENSMUSG00000096215,4193.651864,0.241198515,0.099628432,2.420980738,0.015478697,0.154416798,Smim22
ENSMUSG00000001289,1565.480294,0.196819941,0.081304609,2.420772238,0.015487578,0.154416798,Pfdn5
ENSMUSG00000058809,314.2873801,-0.581249326,0.240232651,-2.419526755,0.015540717,0.154679514,NA
ENSMUSG00000112298,569.5855914,0.381921815,0.15785277,2.419481232,0.015542663,0.154679514,NA
ENSMUSG00000006058,733.000551,0.207352219,0.085715694,2.419069463,0.015560269,0.154679514,Snf8
ENSMUSG00000066072,91.04918753,1.263763646,0.522433747,2.418993132,0.015563534,0.154679514,Cyp4a10
ENSMUSG00000026525,22.41161389,0.91583216,0.378647644,2.418692352,0.015576408,NA,Opn3
ENSMUSG00000031922,452.7440757,-0.2692007,0.111301817,-2.418655027,0.015578006,0.154679514,Cep57
ENSMUSG00000114251,28.97209756,-1.122099647,0.463965185,-2.418499674,0.01558466,0.154679514,NA
ENSMUSG00000062017,12.9965983,-0.996790579,0.41217188,-2.418385699,0.015589542,NA,Abca14
ENSMUSG00000027514,256.2773271,1.057471119,0.43741695,2.417535762,0.015625998,0.154728849,Zbp1
ENSMUSG00000041298,20.503543,-0.768878122,0.3180538,-2.41744674,0.015629821,NA,Katnal1
ENSMUSG00000046861,1119.5779,0.291616989,0.120642101,2.417207482,0.015640099,0.154728849,Hectd3
ENSMUSG00000068674,3486.00502,0.309302245,0.127965208,2.417080773,0.015645545,0.154728849,NA
ENSMUSG00000019943,5992.423763,-0.213367464,0.088276266,-2.417042253,0.015647201,0.154728849,Atp2b1
ENSMUSG00000062116,161.7590449,-0.47087324,0.19482815,-2.416864508,0.015654843,0.154728849,Zfp954
ENSMUSG00000036214,116.56457,-0.433187449,0.179244861,-2.416735667,0.015660385,0.154728849,Polr1has
ENSMUSG00000094497,23.10574507,0.912779694,0.377803389,2.416017747,0.015691297,NA,NA
ENSMUSG00000078453,203.0677071,0.714539855,0.295814165,2.415502498,0.015713515,0.155136965,Abracl
ENSMUSG00000038195,69.85113145,0.524855155,0.217370131,2.41456888,0.015753844,0.155181,Rilp
ENSMUSG00000092203,1463.351714,0.361743112,0.149818796,2.414537569,0.015755198,0.155181,1110038B12Rik
ENSMUSG00000020561,783.2724503,0.274378939,0.113658043,2.414074099,0.015775254,0.155181,Polr1f
ENSMUSG00000015962,78.4866843,1.265098311,0.524075769,2.413960703,0.015780164,0.155181,1700016C15Rik
ENSMUSG00000115987,1977.701524,0.197006554,0.081615317,2.413842916,0.015785266,0.155181,Vps28
ENSMUSG00000031389,8.120113935,-1.205928192,0.499594016,-2.413816327,0.015786418,NA,Arhgap4
ENSMUSG00000042345,33.18641968,1.778247576,0.736871022,2.413241292,0.015811348,0.155181,Ubash3a
ENSMUSG00000027613,1261.888168,0.3343959,0.138571216,2.413169978,0.015814442,0.155181,Eif6
ENSMUSG00000046908,36.51689809,0.715457955,0.296504559,2.412974547,0.015822925,0.155181,Ltb4r1
ENSMUSG00000085702,25.35196745,-0.934760777,0.387394926,-2.412940164,0.015824417,0.155181,NA
ENSMUSG00000027667,248.2783005,-0.30668214,0.127121871,-2.412504917,0.015843324,0.155250374,Zfp639
ENSMUSG00000024215,70.29090643,0.693181767,0.287409617,2.411825237,0.015872888,0.155424001,Spdef
ENSMUSG00000116562,158.7187294,0.426711636,0.176954297,2.411422859,0.015890413,0.155479574,NA
ENSMUSG00000038037,35.65549652,1.429863534,0.593247823,2.410229718,0.015942479,0.155872777,Socs1
ENSMUSG00000036528,758.6355714,-0.485440598,0.201467214,-2.409526527,0.015973235,0.15598961,Ppfibp2
ENSMUSG00000054612,33.93671917,-0.706329864,0.293154336,-2.409412988,0.015978206,0.15598961,Mgmt
ENSMUSG00000107741,497.6388045,-0.453807651,0.188387461,-2.408905821,0.016000426,0.156090404,Gm2011
ENSMUSG00000002496,126.9133113,0.38633386,0.160404013,2.408504953,0.016018009,0.156091008,Tsc2
ENSMUSG00000055978,73.96411472,2.171405455,0.901610889,2.408362056,0.016024281,0.156091008,Fut2
ENSMUSG00000095328,137.834361,1.257711973,0.522469348,2.407245473,0.016073362,0.156375335,NA
ENSMUSG00000060512,418.5464845,0.270886192,0.112541365,2.406992241,0.016084512,0.156375335,0610040J01Rik
ENSMUSG00000092464,15.27612601,-1.027694544,0.426978352,-2.406900819,0.016088538,NA,Gm8902
ENSMUSG00000032482,116.1890578,-0.678442125,0.281875557,-2.406885269,0.016089224,0.156375335,Cspg5
